| --------------------------------------------- | -- | -- | --- | --------------------------------------------- | -- | -- | -- | -- | -- | -- | -- |
| Crazy Ivan, Samsera                           | qp | t# | c#  | location                                      | Dh | Do | Ek | Ko | Zi | Us | Db |
| --------------------------------------------- | -- | -- | --- | --------------------------------------------- | -- | -- | -- | -- | -- | -- | -- |
| junket dejeuner                               |  1 | 15 | 30m | a picnic lunch, a shopkeeper in The Hogweeds  |  x |  x |  x |  x |  x |  x |    |
| leviathan superficies                         |  1 | 15 | 30m | whale skin boots, a shopkeeper in Asgard      |  x |  x |  x |  x |  x |  x |    |
| aged lactose branches                         |  1 |  5 | 30m | fried cheese sticks, Salvatore in Fairhaven   |  x |  x |  x |  x |  x |  x |    |
| bubble vaccination aerosphere promenade       |  1 | 15 | 30m | foaming shot of sky walker, Moe in MahnTor    |  x |  x |  x |  x |  x |  x |    |
| briney minnows                                |  1 | 10 | 30m | a salted herring, Cassandra in New Thalos     |  x |  x |  x |  x |  x |  x |    |
| bister lichen                                 |  1 | 30 | 30m | a brown mushroom, Jiestis in The Underdark    |  x |  x |  x |  x |  x |  x |    |
| statuary ligneous brownie                     |  1 | 15 | 30m | a carved wooden elf, Lileki in Abenos         |  x |  x |  x |  x |  x |  x |    |
| phosphorescence panache                       |  1 | 15 | 30m | a sun jewel, a jeweller in The Bazaar         |  x |  x |  x |  x |  x |  x |    |
| fuzzy treaded mongrel bewitchment             |  1 | 15 | 30m | a halflings charm, Furfoot in Everwar City    |  x |  x |  x |  x |  x |  x |    |
| fervor comestibles                            |  5 | 15 | 30m | some warm bread, a pixi cook In The Air       |  x |  x |  x |  x |  x |  x |    |
| --------------------------------------------- | -- | -- | --- | --------------------------------------------- | -- | -- | -- | -- | -- | -- | -- |
| Ragneli, Samsera                              | qp | t# | c#  | location                                      | Dh | Do | Ek | Ko | Zi | Us | Db |
| --------------------------------------------- | -- | -- | --- | --------------------------------------------- | -- | -- | -- | -- | -- | -- | -- |
| a silver candlestick                          |  1 | 15 | 30m | 10e10n2e9ne, bandits (in bag)                 |  x |  x |  x |  x |  x |  x |    |
| --------------------------------------------- | -- | -- | --- | --------------------------------------------- | -- | -- | -- | -- | -- | -- | -- |
| Ruby the Armorer, Samsera                     | qp | t# | c#  | location                                      | Dh | Do | Ek | Ko | Zi | Us | Db |
| --------------------------------------------- | -- | -- | --- | --------------------------------------------- | -- | -- | -- | -- | -- | -- | -- |
| an iridescent dragon scale                    |  0 | 10 | 30m | Blasted Heath                                 |    |  x |  x |  x |  x |  x |    |
| a block of mithril ore                        |  0 | 15 | 30m | The Underworld, forge area (200k gold reward) |    |  x |  x |  x |  x |  x |    |
| a White Dragon                                |  1 | 15 | 30m | Knights of Krynn (portal Galoe, kill Wret)    |    |  x |  x |  x |  x |  x |    |
| The Great Dragon Wyvn                         |  ? | 15 | 30m | The Dreamworld, 2e3n from start of dream      |    |  x |  x |  x |  x |  x |    |
| The Grand Bronze Dragon                       |  3 | 40 | 40m | The Solamnic Knights                          |    |  x |  x |  x |  x |  x |    |
| the master black dragon                       |  2 | 20 | 30m | Dragonnia                                     |    |  x |  x |  x |  x |  x |    |
| The Shadow Dragon                             |  - | 30 | 40m | Soth's Playground                             |    |  x |  x |  x |  x |  x |    |
| --------------------------------------------- | -- | -- | --- | --------------------------------------------- | -- | -- | -- | -- | -- | -- | -- |
| Rhyvis, Samsera                               | qp | t# | c#  | location                                      | Dh | Do | Ek | Ko | Zi | Us | Db |
| --------------------------------------------- | -- | -- | --- | --------------------------------------------- | -- | -- | -- | -- | -- | -- | -- |
| a beautiful orchid                            |  1 | 30 | 30m | Lupisville (day) - portal goodwife            |    |  x |  x |  x |  x |  x |    |
| a silvered lute                               |  1 | 15 | 30m | The Isle of the Druids - portal Turlough      |    |  x |  x |  x |  x |  x |    |
